categoria,tecnologia,titulo,tipo,url,idioma,status_code,accessible,error
Bases de Datos,MongoDB,MongoDB Official Docs,docs,https://www.mongodb.com/docs/,en,200,True,
Bases de Datos,MongoDB,MongoDB GitHub,github,https://github.com/mongodb,en,200,True,
Bases de Datos,MongoDB,MongoDB Tutorial,tutorial,https://learn.mongodb.com/,en,200,True,
Cybersecurity,OWASP,OWASP Official Docs,docs,https://owasp.org/,en,200,True,
Cybersecurity,OWASP,OWASP GitHub,github,https://github.com/OWASP,en,200,True,
Cybersecurity,OWASP,OWASP Tutorial,tutorial,https://owasp.org/www-project-top-ten/,en,200,True,
Cybersecurity,NIST,NIST Official Docs,docs,https://www.nist.gov/cyberframework,en,200,True,
Cybersecurity,NIST,NIST GitHub,github,https://github.com/usnistgov,en,200,True,
Cybersecurity,NIST,NIST Tutorial,tutorial,https://www.nist.gov/cyberframework,en,200,True,
Cybersecurity,Kali Linux,Kali Linux Official Docs,docs,https://www.kali.org/docs/,en,200,True,
Cybersecurity,Kali Linux,Kali Linux GitHub,github,https://github.com/offensive-security,en,200,True,
Cybersecurity,Kali Linux,Kali Linux Tutorial,tutorial,https://www.kali.org/docs/,en,200,True,
Bases de Datos,Redis,Redis Official Docs,docs,https://redis.io/docs/latest/,en,200,True,
Bases de Datos,Redis,Redis GitHub,github,https://github.com/redis/redis,en,200,True,
Bases de Datos,Redis,Redis Tutorial,tutorial,https://redis.io/docs/latest/develop/get-started/,en,200,True,
Bases de Datos,SQLite,SQLite Official Docs,docs,https://www.sqlite.org/docs.html,en,200,True,
Bases de Datos,SQLite,SQLite GitHub,github,https://github.com/sqlite/sqlite,en,200,True,
Bases de Datos,SQLite,SQLite Tutorial,tutorial,https://www.sqlitetutorial.net/,en,200,True,
Bases de Datos,MariaDB,MariaDB Official Docs,docs,https://mariadb.com/docs/,en,200,True,
Bases de Datos,MariaDB,MariaDB GitHub,github,https://github.com/MariaDB/server,en,200,True,
Bases de Datos,MariaDB,MariaDB Tutorial,tutorial,https://mariadb.com/kb/en/getting-started/,en,200,True,
DevOps,Jenkins,Jenkins Official Docs,docs,https://www.jenkins.io/doc/,en,200,True,
DevOps,Jenkins,Jenkins GitHub,github,https://github.com/jenkinsci/jenkins,en,200,True,
DevOps,Jenkins,Jenkins Tutorial,tutorial,https://www.jenkins.io/doc/tutorials/,en,200,True,
DevOps,Terraform,Terraform Official Docs,docs,https://developer.hashicorp.com/terraform/docs,en,200,True,
DevOps,Terraform,Terraform GitHub,github,https://github.com/hashicorp/terraform,en,200,True,
DevOps,Terraform,Terraform Tutorial,tutorial,https://developer.hashicorp.com/terraform/tutorials,en,200,True,
DevOps,Ansible,Ansible Official Docs,docs,https://docs.ansible.com/,en,200,True,
DevOps,Ansible,Ansible GitHub,github,https://github.com/ansible/ansible,en,200,True,
DevOps,Ansible,Ansible Tutorial,tutorial,https://docs.ansible.com/ansible/latest/getting_started/,en,200,True,
DevOps,GitLab CI/CD,GitLab CI/CD Official Docs,docs,https://docs.gitlab.com/ee/ci/,en,200,True,
DevOps,GitLab CI/CD,GitLab CI/CD GitHub,github,https://gitlab.com/gitlab-org/gitlab,en,200,True,
DevOps,GitLab CI/CD,GitLab CI/CD Tutorial,tutorial,https://docs.gitlab.com/ee/ci/quick_start/,en,200,True,
Cybersecurity,Wireshark,Wireshark Official Docs,docs,https://www.wireshark.org/docs/,en,200,True,
Cybersecurity,Wireshark,Wireshark GitHub,github,https://github.com/wireshark/wireshark,en,200,True,
Cybersecurity,Wireshark,Wireshark Tutorial,tutorial,https://www.wireshark.org/docs/wsug_html_chunked/,en,200,True,
Cybersecurity,Metasploit,Metasploit Official Docs,docs,https://docs.metasploit.com/,en,200,True,
Cybersecurity,Metasploit,Metasploit GitHub,github,https://github.com/rapid7/metasploit-framework,en,200,True,
Cybersecurity,Metasploit,Metasploit Tutorial,tutorial,https://docs.metasploit.com/,en,200,True,
Cybersecurity,MITRE ATT&CK,MITRE ATT&CK Official Docs,docs,https://attack.mitre.org/,en,200,True,
Cybersecurity,MITRE ATT&CK,MITRE ATT&CK GitHub,github,https://github.com/mitre-attack/attack-stix-data,en,200,True,
Cybersecurity,MITRE ATT&CK,MITRE ATT&CK Tutorial,tutorial,https://attack.mitre.org/resources/,en,200,True,
Cybersecurity,Burp Suite,Burp Suite Official Docs,docs,https://portswigger.net/burp/documentation,en,200,True,
Cybersecurity,Burp Suite,Burp Suite GitHub,github,https://github.com/PortSwigger,en,200,True,
Cybersecurity,Burp Suite,Burp Suite Tutorial,tutorial,https://portswigger.net/web-security,en,200,True,
Frontend,Next.js,Next.js Official Docs,docs,https://nextjs.org/docs,en,200,True,
Frontend,Next.js,Next.js GitHub,github,https://github.com/vercel/next.js,en,200,True,
Frontend,Next.js,Next.js Tutorial,tutorial,https://nextjs.org/learn,en,200,True,
Frontend,Svelte,Svelte Official Docs,docs,https://svelte.dev/docs,en,200,True,
Frontend,Svelte,Svelte GitHub,github,https://github.com/sveltejs/svelte,en,200,True,
Frontend,Svelte,Svelte Tutorial,tutorial,https://svelte.dev/tutorial/,en,200,True,
Frontend,Astro,Astro Official Docs,docs,https://docs.astro.build/,en,200,True,
Frontend,Astro,Astro GitHub,github,https://github.com/withastro/astro,en,200,True,
Frontend,Astro,Astro Tutorial,tutorial,https://docs.astro.build/en/tutorial/,en,200,True,
Data Science,Matplotlib,Matplotlib Official Docs,docs,https://matplotlib.org/stable/,en,200,True,
Data Science,Matplotlib,Matplotlib GitHub,github,https://github.com/matplotlib/matplotlib,en,200,True,
Data Science,Matplotlib,Matplotlib Tutorial,tutorial,https://matplotlib.org/stable/tutorials/,en,200,True,
Data Science,SciPy,SciPy Official Docs,docs,https://docs.scipy.org/doc/scipy/,en,200,True,
Data Science,SciPy,SciPy GitHub,github,https://github.com/scipy/scipy,en,200,True,
Data Science,SciPy,SciPy Tutorial,tutorial,https://docs.scipy.org/doc/scipy/tutorial/,en,200,True,
Data Science,Jupyter,Jupyter Official Docs,docs,https://jupyter.org/documentation,en,200,True,
Data Science,Jupyter,Jupyter GitHub,github,https://github.com/jupyter/notebook,en,200,True,
Data Science,Jupyter,Jupyter Tutorial,tutorial,https://docs.jupyter.org/en/latest/,en,200,True,
Backend,Express.js,Express.js Official Docs,docs,https://expressjs.com/,en,200,True,
Backend,Express.js,Express.js GitHub,github,https://github.com/expressjs/express,en,200,True,
Backend,Express.js,Express.js Tutorial,tutorial,https://expressjs.com/en/starter/installing.html,en,200,True,
Machine Learning,XGBoost,XGBoost Official Docs,docs,https://xgboost.readthedocs.io/,en,200,True,
Machine Learning,XGBoost,XGBoost GitHub,github,https://github.com/dmlc/xgboost,en,200,True,
Machine Learning,XGBoost,XGBoost Tutorial,tutorial,https://xgboost.readthedocs.io/en/stable/tutorials/,en,200,True,
