titulo,texto,tecnologia,tipo,url,categoria
Django - Django Tutorial - Parte 9,"n in our ticket tracker. Download: Offline (Django 6.0): HTML | PDF | ePub Provided by Read the Docs . Diamond and Platinum Members Sentry Monitor your Django Code Resolve performance bottlenecks and errors using monitoring, replays, logs and Seer an AI agent for debugging. JetBrains JetBrains delivers intelligent software solutions that make developers more productive by simplifying their challenging tasks, automating the routine, and helping them adopt the best development practices. PyCharm is the Python IDE for Professional Developers by JetBrains providing a complete set of tools for productive Python, Web and scientific development. Kraken Tech Kraken is the most-loved operating system for energy. Powered by our Utility-Grade AI™ and deep industry know-how, we help utilities transform their technology and operations so they can lead the energy transition. Delivering better outcomes from generation through distribution to supply, Kraken powers 70+ million accounts worldwide, and is on a mission to make a big, green dent in the universe. PostHog PostHog is an all-in-one developer platform for building successful products. We provide product analytics, web analytics, session replay, error tracking, feature flags, experiments, surveys, LLM observability, data warehouse, CDP, workflows, logs, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.",Django,tutorial,https://docs.djangoproject.com/en/stable/intro/tutorial01/,Backend
NestJS - NestJS GitHub - Parte 4,"g backers. If you'd like to join them, please read more here . Principal Sponsors Gold Sponsors Silver Sponsors Sponsors Backers Stay in touch Author - Kamil Myśliwiec Website - https://nestjs.com X - @nestframework License Nest is MIT licensed . About A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications with TypeScript/JavaScript 🚀 nestjs.com Topics framework hacktoberfest javascript javascript-framework microservices nest nestjs node nodejs nodejs-framework typescript typescript-framework websockets Resources Readme MIT license Code of conduct Code of conduct Contributing Contributing Security policy Security policy Activity Custom properties Stars 76.2k stars Watchers 751 watching Forks 8.4k forks Report repository Releases Sponsor this project Used by Contributors Languages You can’t perform that action at this time.",NestJS,github,https://github.com/nestjs/nest,Backend
Django - Django Official Docs - Parte 4,"ers | Custom template backend Forms ¶ Django provides a rich framework to facilitate the creation of forms and the manipulation of form data. The basics: Overview | Form API | Built-in fields | Built-in widgets Advanced: Forms for models | Integrating media | Formsets | Customizing validation The development process ¶ Learn about the various components and tools to help you in the development and testing of Django applications: Settings: Overview | Full list of settings Applications: Overview Exceptions: Overview django-admin and manage.py: Overview | Adding custom commands Testing: Introduction | Writing and running tests | Included testing tools | Advanced topics Deployment: Overview | WSGI servers | ASGI servers | Deploying static files | Tracking code errors by email | Deployment checklist The admin ¶ Find all you need to know about the automated admin interface, one of Django’s most popular features: Admin site Admin actions Admin documentation generator Security ¶ Security is a topic of paramount importance in the development of web applications and Django provides multiple protection tools and mechanisms: Security overview Disclosed security issues in Django Clickjacking protection Cross Site Request Forgery protection Cryptographic signing Security Middleware Content Security Policy Internationalization and localization ¶ Django offers a robust internationalization and localization framework to assist you in the development of applications for multiple languages and w",Django,docs,https://docs.djangoproject.com/,Backend
FastAPI - FastAPI Official Docs - Parte 4,"quotes to ensure it works in all terminals. If you prefer to use pip , install fastapi[standard] inside a virtual environment. See the installation guide for the alternative steps. Example ¶ Create it ¶ Create a file main.py with: from fastapi import FastAPI app = FastAPI () @app . get ( ""/"" ) def read_root (): return { ""Hello"" : ""World"" } @app . get ( ""/items/ {item_id} "" ) def read_item ( item_id : int , q : str | None = None ): return { ""item_id"" : item_id , ""q"" : q } Or use async def ... If your code uses async / await , use async def : from fastapi import FastAPI app = FastAPI () @app . get ( ""/"" ) async def read_root (): return { ""Hello"" : ""World"" } @app . get ( ""/items/ {item_id} "" ) async def read_item ( item_id : int , q : str | None = None ): return { ""item_id"" : item_id , ""q"" : q } Note : If you don't know, check the ""In a hurry?"" section about async and await in the docs . Run it ¶ Run the server with: $ uv run fastapi dev ╭────────── FastAPI CLI - Development mode ───────────╮ │ │ │ Serving at: http://127.0.0.1:8000 │ │ │ │ API docs: http://127.0.0.1:8000/docs │ │ │ │ Running in development mode, for production use: │ │ │ │ fastapi run │ │ │ ╰─────────────────────────────────────────────────────╯ INFO: Will watch for changes in these directories: ['/home/user/code/awesomeapp'] INFO: Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit) INFO: Started reloader process [2248755] using WatchFiles INFO: Started server process [2248757] INFO: Waiting for appl",FastAPI,docs,https://fastapi.tiangolo.com/,Backend
Express.js - Express.js GitHub - Parte 1,"GitHub - expressjs/express: Fast, unopinionated, minimalist web framework for node. · GitHub Skip to content You signed in with another tab or window. Reload to refresh your session. You signed out in another tab or window. Reload to refresh your session. You switched accounts on another tab or window. Reload to refresh your session. Dismiss alert Uh oh! There was an error while loading. Please reload this page . expressjs / express Public Uh oh! There was an error while loading. Please reload this page . Notifications You must be signed in to change notification settings Fork 24.3k Star 69.2k master Branches Tags Go to file Code Open more actions menu Folders and files Name Name Last commit message Last commit date Latest commit History 6,157 Commits 6,157 Commits .github .github examples examples lib lib test test .editorconfig .editorconfig .eslintignore .eslintignore .eslintrc.yml .eslintrc.yml .gitignore .gitignore .npmrc .npmrc History.md History.md LICENSE LICENSE Readme.md Readme.md index.js index.js package.json package.json View all files Repository files navigation Fast, unopinionated, minimalist web framework for Node.js . Table of contents Installation Features Docs & Community Quick Start Philosophy Examples Contributing Security Issues Running Tests Current project team members TC (Technical Committee) TC emeriti members Triagers Emeritus Triagers License import express from 'express' const app = express ( ) app . get ( '/' , ( req , res ) => { res . send ( 'He",Express.js,github,https://github.com/expressjs/express,Backend
FastAPI - FastAPI GitHub - Parte 7,"een: Alternative API docs upgrade And now, go to http://127.0.0.1:8000/redoc . The alternative documentation will also reflect the new query parameter and body: Recap In summary, you declare once the types of parameters, body, etc. as function parameters. You do that with standard modern Python types. You don't have to learn a new syntax, the methods or classes of a specific library, etc. Just standard Python . For example, for an int : item_id : int or for a more complex Item model: item : Item ...and with that single declaration you get: Editor support, including: Completion. Type checks. Validation of data: Automatic and clear errors when the data is invalid. Validation even for deeply nested JSON objects. Conversion of input data: coming from the network to Python data and types. Reading from: JSON. Path parameters. Query parameters. Cookies. Headers. Forms. Files. Conversion of output data: converting from Python data and types to network data (as JSON): Convert Python types ( str , int , float , bool , list , etc). datetime objects. UUID objects. Database models. ...and many more. Automatic interactive API documentation, including 2 alternative user interfaces: Swagger UI. ReDoc. Coming back to the previous code example, FastAPI will: Validate that there is an item_id in the path for GET and PUT requests. Validate that the item_id is of type int for GET and PUT requests. If it is not, the client will see a useful, clear error. Check if there is an optional query paramet",FastAPI,github,https://github.com/fastapi/fastapi,Backend
FastAPI - FastAPI Official Docs - Parte 9,"es: Declaration of parameters from other different places such as: headers , cookies , form fields and files . How to set validation constraints such as maximum_length or regex . A very powerful and easy to use Dependency Injection system. Security and authentication, including support for OAuth2 with JWT tokens and HTTP Basic auth. More advanced (but equally easy) techniques for declaring deeply nested JSON models (thanks to Pydantic). GraphQL integration with Strawberry and other libraries. Many extra features (thanks to Starlette) such as: WebSockets extremely easy tests based on HTTPX and pytest CORS Cookie Sessions ...and more. Deploy your app (optional) ¶ You can optionally deploy your FastAPI app to FastAPI Cloud with a single command. 🚀 $ uv run fastapi deploy Deploying to FastAPI Cloud... ✅ Deployment successful! 🐔 Ready the chicken! Your app is ready at https://myapp.fastapicloud.dev The CLI will automatically detect your FastAPI application and deploy it to the cloud. If you are not logged in, your browser will open to complete the authentication process. That's it! Now you can access your app at that URL. ✨ About FastAPI Cloud ¶ FastAPI Cloud is built by the same author and team behind FastAPI . It streamlines the process of building , deploying , and accessing an API with minimal effort. It brings the same developer experience of building apps with FastAPI to deploying them to the cloud. 🎉 FastAPI Cloud is the primary sponsor and funding provider for the FastAPI",FastAPI,docs,https://fastapi.tiangolo.com/,Backend
FastAPI - FastAPI Official Docs - Parte 7,"are once the types of parameters, body, etc. as function parameters. You do that with standard modern Python types. You don't have to learn a new syntax, the methods or classes of a specific library, etc. Just standard Python . For example, for an int : item_id : int or for a more complex Item model: item : Item ...and with that single declaration you get: Editor support, including: Completion. Type checks. Validation of data: Automatic and clear errors when the data is invalid. Validation even for deeply nested JSON objects. Conversion of input data: coming from the network to Python data and types. Reading from: JSON. Path parameters. Query parameters. Cookies. Headers. Forms. Files. Conversion of output data: converting from Python data and types to network data (as JSON): Convert Python types ( str , int , float , bool , list , etc). datetime objects. UUID objects. Database models. ...and many more. Automatic interactive API documentation, including 2 alternative user interfaces: Swagger UI. ReDoc. Coming back to the previous code example, FastAPI will: Validate that there is an item_id in the path for GET and PUT requests. Validate that the item_id is of type int for GET and PUT requests. If it is not, the client will see a useful, clear error. Check if there is an optional query parameter named q (as in http://127.0.0.1:8000/items/foo?q=somequery ) for GET requests. As the q parameter is declared with = None , it is optional. Without the None it would be required (as is",FastAPI,docs,https://fastapi.tiangolo.com/,Backend
Django - Django Tutorial - Parte 3,"t created: djangotutorial/ manage.py mysite/ __init__.py settings.py urls.py asgi.py wsgi.py These files are: manage.py : A command-line utility that lets you interact with this Django project in various ways. You can read all the details about manage.py in django-admin and manage.py . mysite/ : A directory that is the actual Python package for your project. Its name is the Python package name you’ll need to use to import anything inside it (e.g. mysite.urls ). mysite/__init__.py : An empty file that tells Python that this directory should be considered a Python package. If you’re a Python beginner, read more about packages in the official Python docs. mysite/settings.py : Settings/configuration for this Django project. Django settings will tell you all about how settings work. mysite/urls.py : The URL declarations for this Django project; a “table of contents” of your Django-powered site. You can read more about URLs in URL dispatcher . mysite/asgi.py : An entry-point for ASGI-compatible web servers to serve your project. See How to deploy with ASGI for more details. mysite/wsgi.py : An entry-point for WSGI-compatible web servers to serve your project. See How to deploy with WSGI for more details. The development server ¶ Let’s verify your Django project works. Change into the djangotutorial directory, if you haven’t already, and run the following commands: /  $ python manage.py runserver ...\> py manage.py runserver You’ll see the following output on the command line: Pe",Django,tutorial,https://docs.djangoproject.com/en/stable/intro/tutorial01/,Backend
FastAPI - FastAPI Official Docs - Parte 5,"esomeapp'] INFO: Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit) INFO: Started reloader process [2248755] using WatchFiles INFO: Started server process [2248757] INFO: Waiting for application startup. INFO: Application startup complete. About the command fastapi dev ... The command fastapi dev reads your main.py file automatically, detects the FastAPI app in it, and starts a server using Uvicorn . By default, fastapi dev will start with auto-reload enabled for local development. You can read more about it in the FastAPI CLI docs . Check it ¶ Open your browser at http://127.0.0.1:8000/items/5?q=somequery . You will see the JSON response as: { ""item_id"" : 5 , ""q"" : ""somequery"" } You already created an API that: Receives HTTP requests in the paths / and /items/{item_id} . Both paths take GET operations (also known as HTTP methods ). The path /items/{item_id} has a path parameter item_id that should be an int . The path /items/{item_id} has an optional str query parameter q . Interactive API docs ¶ Now go to http://127.0.0.1:8000/docs . You will see the automatic interactive API documentation (provided by Swagger UI ): Alternative API docs ¶ And now, go to http://127.0.0.1:8000/redoc . You will see the alternative automatic documentation (provided by ReDoc ): Example upgrade ¶ Now modify the file main.py to receive a body from a PUT request. Declare the body using standard Python types, thanks to Pydantic. from fastapi import FastAPI from pydantic import BaseModel",FastAPI,docs,https://fastapi.tiangolo.com/,Backend
Django - Django Tutorial - Parte 6,"ple apps. An app can be in multiple projects. Your apps can live anywhere in your Python path . In this tutorial, we’ll create our poll app inside the djangotutorial folder. To create your app, make sure you’re in the same directory as manage.py and type this command: /  $ python manage.py startapp polls ...\> py manage.py startapp polls That’ll create a directory polls , which is laid out like this: polls/ __init__.py admin.py apps.py migrations/ __init__.py models.py tests.py views.py This directory structure will house the poll application. Write your first view ¶ Let’s write the first view. Open the file polls/views.py and put the following Python code in it: polls/views.py ¶ from django.http import HttpResponse def index ( request ): return HttpResponse ( ""Hello, world. You're at the polls index."" ) This is the most basic view possible in Django. To access it in a browser, we need to map it to a URL - and for this we need to define a URL configuration, or “URLconf” for short. These URL configurations are defined inside each Django app, and they are Python files named urls.py . To define a URLconf for the polls app, create a file polls/urls.py with the following content: polls/urls.py ¶ from django.urls import path from . import views urlpatterns = [ path ( """" , views . index , name = ""index"" ), ] Your app directory should now look like: polls/ __init__.py admin.py apps.py migrations/ __init__.py models.py tests.py urls.py views.py The next step is to configure the roo",Django,tutorial,https://docs.djangoproject.com/en/stable/intro/tutorial01/,Backend
FastAPI - FastAPI GitHub - Parte 9,"ll auto-complete the attributes and know their types: For a more complete example including more features, see the Tutorial - User Guide . Spoiler alert : the tutorial - user guide includes: Declaration of parameters from other different places such as: headers , cookies , form fields and files . How to set validation constraints such as maximum_length or regex . A very powerful and easy to use Dependency Injection system. Security and authentication, including support for OAuth2 with JWT tokens and HTTP Basic auth. More advanced (but equally easy) techniques for declaring deeply nested JSON models (thanks to Pydantic). GraphQL integration with Strawberry and other libraries. Many extra features (thanks to Starlette) such as: WebSockets extremely easy tests based on HTTPX and pytest CORS Cookie Sessions ...and more. Deploy your app (optional) You can optionally deploy your FastAPI app to FastAPI Cloud with a single command. 🚀 $ uv run fastapi deploy Deploying to FastAPI Cloud... ✅ Deployment successful! 🐔 Ready the chicken! Your app is ready at https://myapp.fastapicloud.dev The CLI will automatically detect your FastAPI application and deploy it to the cloud. If you are not logged in, your browser will open to complete the authentication process. That's it! Now you can access your app at that URL. ✨ About FastAPI Cloud FastAPI Cloud is built by the same author and team behind FastAPI . It streamlines the process of building , deploying , and accessing an API with minimal eff",FastAPI,github,https://github.com/fastapi/fastapi,Backend
Django - Django Official Docs - Parte 7,"using monitoring, replays, logs and Seer an AI agent for debugging. JetBrains JetBrains delivers intelligent software solutions that make developers more productive by simplifying their challenging tasks, automating the routine, and helping them adopt the best development practices. PyCharm is the Python IDE for Professional Developers by JetBrains providing a complete set of tools for productive Python, Web and scientific development. Kraken Tech Kraken is the most-loved operating system for energy. Powered by our Utility-Grade AI™ and deep industry know-how, we help utilities transform their technology and operations so they can lead the energy transition. Delivering better outcomes from generation through distribution to supply, Kraken powers 70+ million accounts worldwide, and is on a mission to make a big, green dent in the universe. PostHog PostHog is an all-in-one developer platform for building successful products. We provide product analytics, web analytics, session replay, error tracking, feature flags, experiments, surveys, LLM observability, data warehouse, CDP, workflows, logs, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.",Django,docs,https://docs.djangoproject.com/,Backend
Express.js - Express.js Tutorial - Parte 2,"ress --no-save TypeScript Express is written in JavaScript and does not bundle its own type definitions. To use it with TypeScript, install TypeScript together with the community-maintained types for Express and Node.js (from DefinitelyTyped ) as development dependencies: npm yarn pnpm bun Terminal window npm install --save-dev typescript @types/express @types/node Terminal window yarn add --dev typescript @types/express @types/node Terminal window pnpm add --save-dev typescript @types/express @types/node Terminal window bun add --dev typescript @types/express @types/node Warning Some middleware does not bundle its own type definitions. If you add an official middleware package that TypeScript reports as untyped, also install its types from DefinitelyTyped as a dev dependency, for example @types/cors alongside cors . Add a tsconfig.json . These options mirror how Node.js runs TypeScript and make the compiler reject non-erasable syntax (such as enum s, namespaces, and parameter properties) that Node cannot strip: tsconfig.json { ""compilerOptions"" : { ""target"" : ""esnext"" , ""module"" : ""nodenext"" , ""rewriteRelativeImportExtensions"" : true , ""erasableSyntaxOnly"" : true , ""verbatimModuleSyntax"" : true , ""noEmit"" : true , ""strict"" : true , ""skipLibCheck"" : true } } Write your application in TypeScript, annotating the request and response objects: src/app.ts import express, { type Express, type Request, type Response } from 'express' ; const app : Express = express (); app. get ( '/'",Express.js,tutorial,https://expressjs.com/en/starter/installing.html,Backend
FastAPI - FastAPI Tutorial - Parte 3,"<span style=""background-color:#007166""><font color=""#D3D7CF""> INFO </font></span> Started reloader process <b>[</b><font color=""#34E2E2""><b>383138</b></font><b>]</b> using WatchFiles <span style=""background-color:#007166""><font color=""#D3D7CF""> INFO </font></span> Started server process <b>[</b><font color=""#34E2E2""><b>383153</b></font><b>]</b> <span style=""background-color:#007166""><font color=""#D3D7CF""> INFO </font></span> Waiting for application startup. <span style=""background-color:#007166""><font color=""#D3D7CF""> INFO </font></span> Application startup complete. It is HIGHLY encouraged that you write or copy the code, edit it and run it locally. Using it in your editor is what really shows you the benefits of FastAPI, seeing how little code you have to write, all the type checks, autocompletion, etc. Install FastAPI ¶ The first step is to set up your project and add FastAPI. Install uv , then create a project and add FastAPI: $ uv init awesome-project --bare $ cd awesome-project $ uv add ""fastapi[standard]"" ---> 100% uv add creates the project's virtual environment in .venv , adds FastAPI to pyproject.toml , and creates uv.lock so the same package versions can be installed later. What these commands do uv init : create a new Python project. awesome-project : create the project in a new directory with this name. --bare : create only the minimal pyproject.toml file, without generating a sample main.py , README.md , or other files. You will create the application files your",FastAPI,tutorial,https://fastapi.tiangolo.com/tutorial/,Backend
